1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D800000055DB0C21
Is Mission Active?  true
Mission Start:  Wed Sep 20 12:01:00 CEST 2023
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  696
Total Samples:  16785
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date,Time,Unit,Value
9/25/23, 6:01:00 PM,C,17
9/25/23, 7:01:00 PM,C,17
9/25/23, 8:01:00 PM,C,16.5
9/25/23, 9:01:00 PM,C,16.5
9/25/23, 10:01:00 PM,C,16
9/25/23, 11:01:00 PM,C,16
9/26/23, 12:01:00 AM,C,16
9/26/23, 1:01:00 AM,C,15.5
9/26/23, 2:01:00 AM,C,15.5
9/26/23, 3:01:00 AM,C,15.5
9/26/23, 4:01:00 AM,C,15.5
9/26/23, 5:01:00 AM,C,15
9/26/23, 6:01:00 AM,C,15
9/26/23, 7:01:00 AM,C,15
9/26/23, 8:01:00 AM,C,15
9/26/23, 9:01:00 AM,C,15
9/26/23, 10:01:00 AM,C,15
9/26/23, 11:01:00 AM,C,15
9/26/23, 12:01:00 PM,C,15.5
9/26/23, 1:01:00 PM,C,16
9/26/23, 2:01:00 PM,C,16.5
9/26/23, 3:01:00 PM,C,16.5
9/26/23, 4:01:00 PM,C,16.5
9/26/23, 5:01:00 PM,C,17
9/26/23, 6:01:00 PM,C,17
9/26/23, 7:01:00 PM,C,17
9/26/23, 8:01:00 PM,C,17
9/26/23, 9:01:00 PM,C,16.5
9/26/23, 10:01:00 PM,C,16.5
9/26/23, 11:01:00 PM,C,16
9/27/23, 12:01:00 AM,C,16
9/27/23, 1:01:00 AM,C,16
9/27/23, 2:01:00 AM,C,15.5
9/27/23, 3:01:00 AM,C,15.5
9/27/23, 4:01:00 AM,C,15.5
9/27/23, 5:01:00 AM,C,15.5
9/27/23, 6:01:00 AM,C,15
9/27/23, 7:01:00 AM,C,15
9/27/23, 8:01:00 AM,C,15
9/27/23, 9:01:00 AM,C,15
9/27/23, 10:01:00 AM,C,15
9/27/23, 11:01:00 AM,C,15
9/27/23, 12:01:00 PM,C,15.5
9/27/23, 1:01:00 PM,C,16
9/27/23, 2:01:00 PM,C,16.5
9/27/23, 3:01:00 PM,C,16.5
9/27/23, 4:01:00 PM,C,17
9/27/23, 5:01:00 PM,C,17
9/27/23, 6:01:00 PM,C,17
9/27/23, 7:01:00 PM,C,17
9/27/23, 8:01:00 PM,C,17
9/27/23, 9:01:00 PM,C,17
9/27/23, 10:01:00 PM,C,16.5
9/27/23, 11:01:00 PM,C,16.5
9/28/23, 12:01:00 AM,C,16.5
9/28/23, 1:01:00 AM,C,16
9/28/23, 2:01:00 AM,C,16
9/28/23, 3:01:00 AM,C,16
9/28/23, 4:01:00 AM,C,16
9/28/23, 5:01:00 AM,C,16
9/28/23, 6:01:00 AM,C,15.5
9/28/23, 7:01:00 AM,C,15.5
9/28/23, 8:01:00 AM,C,15.5
9/28/23, 9:01:00 AM,C,15.5
9/28/23, 10:01:00 AM,C,15.5
9/28/23, 11:01:00 AM,C,16
9/28/23, 12:01:00 PM,C,16.5
9/28/23, 1:01:00 PM,C,17
9/28/23, 2:01:00 PM,C,17
9/28/23, 3:01:00 PM,C,17
9/28/23, 4:01:00 PM,C,17.5
9/28/23, 5:01:00 PM,C,17.5
9/28/23, 6:01:00 PM,C,17.5
9/28/23, 7:01:00 PM,C,17.5
9/28/23, 8:01:00 PM,C,17.5
9/28/23, 9:01:00 PM,C,17
9/28/23, 10:01:00 PM,C,17
9/28/23, 11:01:00 PM,C,17
9/29/23, 12:01:00 AM,C,16.5
9/29/23, 1:01:00 AM,C,16.5
9/29/23, 2:01:00 AM,C,16.5
9/29/23, 3:01:00 AM,C,16
9/29/23, 4:01:00 AM,C,16
9/29/23, 5:01:00 AM,C,16
9/29/23, 6:01:00 AM,C,15.5
9/29/23, 7:01:00 AM,C,15.5
9/29/23, 8:01:00 AM,C,15.5
9/29/23, 9:01:00 AM,C,15.5
9/29/23, 10:01:00 AM,C,15.5
9/29/23, 11:01:00 AM,C,16
9/29/23, 12:01:00 PM,C,16
9/29/23, 1:01:00 PM,C,16.5
9/29/23, 2:01:00 PM,C,17
9/29/23, 3:01:00 PM,C,17
9/29/23, 4:01:00 PM,C,17.5
9/29/23, 5:01:00 PM,C,17.5
9/29/23, 6:01:00 PM,C,18
9/29/23, 7:01:00 PM,C,18
9/29/23, 8:01:00 PM,C,17.5
9/29/23, 9:01:00 PM,C,17.5
9/29/23, 10:01:00 PM,C,17.5
9/29/23, 11:01:00 PM,C,17.5
9/30/23, 12:01:00 AM,C,17.5
9/30/23, 1:01:00 AM,C,17.5
9/30/23, 2:01:00 AM,C,17.5
9/30/23, 3:01:00 AM,C,17.5
9/30/23, 4:01:00 AM,C,17
9/30/23, 5:01:00 AM,C,17
9/30/23, 6:01:00 AM,C,17
9/30/23, 7:01:00 AM,C,17
9/30/23, 8:01:00 AM,C,17
9/30/23, 9:01:00 AM,C,17
9/30/23, 10:01:00 AM,C,17
9/30/23, 11:01:00 AM,C,17
9/30/23, 12:01:00 PM,C,17.5
9/30/23, 1:01:00 PM,C,17.5
9/30/23, 2:01:00 PM,C,18
9/30/23, 3:01:00 PM,C,18
9/30/23, 4:01:00 PM,C,18
9/30/23, 5:01:00 PM,C,18
9/30/23, 6:01:00 PM,C,18
9/30/23, 7:01:00 PM,C,18
9/30/23, 8:01:00 PM,C,18
9/30/23, 9:01:00 PM,C,18
9/30/23, 10:01:00 PM,C,17.5
9/30/23, 11:01:00 PM,C,17.5
10/1/23, 12:01:00 AM,C,17.5
10/1/23, 1:01:00 AM,C,17.5
10/1/23, 2:01:00 AM,C,17
10/1/23, 3:01:00 AM,C,17
10/1/23, 4:01:00 AM,C,17
10/1/23, 5:01:00 AM,C,16.5
10/1/23, 6:01:00 AM,C,16.5
10/1/23, 7:01:00 AM,C,16.5
10/1/23, 8:01:00 AM,C,16.5
10/1/23, 9:01:00 AM,C,16
10/1/23, 10:01:00 AM,C,16.5
10/1/23, 11:01:00 AM,C,16.5
10/1/23, 12:01:00 PM,C,16.5
10/1/23, 1:01:00 PM,C,17
10/1/23, 2:01:00 PM,C,17.5
10/1/23, 3:01:00 PM,C,17.5
10/1/23, 4:01:00 PM,C,17.5
10/1/23, 5:01:00 PM,C,18
10/1/23, 6:01:00 PM,C,18
10/1/23, 7:01:00 PM,C,18
10/1/23, 8:01:00 PM,C,17.5
10/1/23, 9:01:00 PM,C,17.5
10/1/23, 10:01:00 PM,C,17.5
10/1/23, 11:01:00 PM,C,17
10/2/23, 12:01:00 AM,C,17
10/2/23, 1:01:00 AM,C,17
10/2/23, 2:01:00 AM,C,16.5
10/2/23, 3:01:00 AM,C,16.5
10/2/23, 4:01:00 AM,C,16.5
10/2/23, 5:01:00 AM,C,16.5
10/2/23, 6:01:00 AM,C,16
10/2/23, 7:01:00 AM,C,16
10/2/23, 8:01:00 AM,C,16
10/2/23, 9:01:00 AM,C,15.5
10/2/23, 10:01:00 AM,C,16
10/2/23, 11:01:00 AM,C,16
10/2/23, 12:01:00 PM,C,16.5
10/2/23, 1:01:00 PM,C,17
10/2/23, 2:01:00 PM,C,17
10/2/23, 3:01:00 PM,C,17.5
10/2/23, 4:01:00 PM,C,17.5
10/2/23, 5:01:00 PM,C,17.5
10/2/23, 6:01:00 PM,C,17.5
10/2/23, 7:01:00 PM,C,17.5
10/2/23, 8:01:00 PM,C,17.5
10/2/23, 9:01:00 PM,C,17.5
10/2/23, 10:01:00 PM,C,17
10/2/23, 11:01:00 PM,C,17
10/3/23, 12:01:00 AM,C,17
10/3/23, 1:01:00 AM,C,17
10/3/23, 2:01:00 AM,C,16.5
10/3/23, 3:01:00 AM,C,16.5
10/3/23, 4:01:00 AM,C,16.5
10/3/23, 5:01:00 AM,C,16.5
10/3/23, 6:01:00 AM,C,16
10/3/23, 7:01:00 AM,C,16
10/3/23, 8:01:00 AM,C,16
10/3/23, 9:01:00 AM,C,16
10/3/23, 10:01:00 AM,C,16
10/3/23, 11:01:00 AM,C,16
10/3/23, 12:01:00 PM,C,16.5
10/3/23, 1:01:00 PM,C,17
10/3/23, 2:01:00 PM,C,17
10/3/23, 3:01:00 PM,C,17.5
10/3/23, 4:01:00 PM,C,17.5
10/3/23, 5:01:00 PM,C,18
10/3/23, 6:01:00 PM,C,17.5
10/3/23, 7:01:00 PM,C,18
10/3/23, 8:01:00 PM,C,17.5
10/3/23, 9:01:00 PM,C,17.5
10/3/23, 10:01:00 PM,C,17.5
10/3/23, 11:01:00 PM,C,17.5
10/4/23, 12:01:00 AM,C,17.5
10/4/23, 1:01:00 AM,C,17
10/4/23, 2:01:00 AM,C,17
10/4/23, 3:01:00 AM,C,17
10/4/23, 4:01:00 AM,C,17
10/4/23, 5:01:00 AM,C,17
10/4/23, 6:01:00 AM,C,16.5
10/4/23, 7:01:00 AM,C,16.5
10/4/23, 8:01:00 AM,C,16.5
10/4/23, 9:01:00 AM,C,16.5
10/4/23, 10:01:00 AM,C,16.5
10/4/23, 11:01:00 AM,C,16.5
10/4/23, 12:01:00 PM,C,17
10/4/23, 1:01:00 PM,C,17.5
10/4/23, 2:01:00 PM,C,17.5
10/4/23, 3:01:00 PM,C,17.5
10/4/23, 4:01:00 PM,C,17.5
10/4/23, 5:01:00 PM,C,17.5
10/4/23, 6:01:00 PM,C,17.5
10/4/23, 7:01:00 PM,C,17.5
10/4/23, 8:01:00 PM,C,17
10/4/23, 9:01:00 PM,C,17
10/4/23, 10:01:00 PM,C,17
10/4/23, 11:01:00 PM,C,16.5
10/5/23, 12:01:00 AM,C,16.5
10/5/23, 1:01:00 AM,C,16
10/5/23, 2:01:00 AM,C,16
10/5/23, 3:01:00 AM,C,16
10/5/23, 4:01:00 AM,C,15.5
10/5/23, 5:01:00 AM,C,15.5
10/5/23, 6:01:00 AM,C,15.5
10/5/23, 7:01:00 AM,C,15.5
10/5/23, 8:01:00 AM,C,15
10/5/23, 9:01:00 AM,C,15
10/5/23, 10:01:00 AM,C,15
10/5/23, 11:01:00 AM,C,15.5
10/5/23, 12:01:00 PM,C,15.5
10/5/23, 1:01:00 PM,C,16
10/5/23, 2:01:00 PM,C,16
10/5/23, 3:01:00 PM,C,16.5
10/5/23, 4:01:00 PM,C,16.5
10/5/23, 5:01:00 PM,C,17
10/5/23, 6:01:00 PM,C,17
10/5/23, 7:01:00 PM,C,17
10/5/23, 8:01:00 PM,C,16.5
10/5/23, 9:01:00 PM,C,16.5
10/5/23, 10:01:00 PM,C,16.5
10/5/23, 11:01:00 PM,C,16
10/6/23, 12:01:00 AM,C,16
10/6/23, 1:01:00 AM,C,15.5
10/6/23, 2:01:00 AM,C,15.5
10/6/23, 3:01:00 AM,C,15.5
10/6/23, 4:01:00 AM,C,15
10/6/23, 5:01:00 AM,C,15
10/6/23, 6:01:00 AM,C,15
10/6/23, 7:01:00 AM,C,14.5
10/6/23, 8:01:00 AM,C,14.5
10/6/23, 9:01:00 AM,C,14.5
10/6/23, 10:01:00 AM,C,14.5
10/6/23, 11:01:00 AM,C,15
10/6/23, 12:01:00 PM,C,15
